route_id,route_licence_number,sub_agency_id,sub_agency_name
L580,220580,67,"ČSAD Slaný s.r.o."
L581,310581,70,"Transdev Střední Čechy s.r.o."
L582,282582,18,"ARRIVA CITY s.r.o."
L584,310584,70,"Transdev Střední Čechy s.r.o."
L586,221586,8,"ČSAD MHD Kladno a.s."
L586,220586,67,"ČSAD Slaný s.r.o."
L587,220587,67,"ČSAD Slaný s.r.o."
L588,220588,67,"ČSAD Slaný s.r.o."
L589,221589,66,"ČSAD Česká Lípa a.s."
L589,220589,67,"ČSAD Slaný s.r.o."
L590,221590,8,"ČSAD MHD Kladno a.s."
L590,220590,67,"ČSAD Slaný s.r.o."
L591,220591,67,"ČSAD Slaný s.r.o."
L592,220592,67,"ČSAD Slaný s.r.o."
L593,220593,67,"ČSAD Slaný s.r.o."
L594,220594,67,"ČSAD Slaný s.r.o."
L595,221595,8,"ČSAD MHD Kladno a.s."
L595,220595,67,"ČSAD Slaný s.r.o."
L596,220596,67,"ČSAD Slaný s.r.o."
L597,220597,67,"ČSAD Slaný s.r.o."
L598,270598,13,"Okresní autobusová doprava Kolín, s.r.o."
L599,270599,13,"Okresní autobusová doprava Kolín, s.r.o."
L600,220600,8,"ČSAD MHD Kladno a.s."
L616,220616,8,"ČSAD MHD Kladno a.s."
L617,221617,67,"ČSAD Slaný s.r.o."
L618,220618,8,"ČSAD MHD Kladno a.s."
L619,220619,8,"ČSAD MHD Kladno a.s."
L620,220620,24,"Valenta BUS s.r.o."
L620,221620,37,"POHL Kladno spol. s r.o."
L622,290622,8,"ČSAD MHD Kladno a.s."
L623,220623,8,"ČSAD MHD Kladno a.s."
L625,220625,8,"ČSAD MHD Kladno a.s."
L626,220626,8,"ČSAD MHD Kladno a.s."
L627,220627,8,"ČSAD MHD Kladno a.s."
L628,220628,8,"ČSAD MHD Kladno a.s."
L629,220629,8,"ČSAD MHD Kladno a.s."
L630,220630,8,"ČSAD MHD Kladno a.s."
L631,210631,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L632,290632,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L633,210633,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L634,210634,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L636,210636,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L637,210637,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L638,210638,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L639,210639,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L640,210640,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L641,210641,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L642,301642,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L643,210643,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L646,250646,10,"ČSAD Střední Čechy , a.s."
L646,252646,29,"STENBUS s.r.o."
L646,251646,66,"ČSAD Česká Lípa a.s."
L649,210649,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L650,553650,67,"ČSAD Slaný s.r.o."
L650,552650,85,"Dopravní společnost Ústeckého kraje, příspěvková organizace"
L651,200651,12,"ČSAD Benešov s.r.o."
L652,283652,11,"ČSAD POLKOST, spol. s r.o."
L653,282653,18,"ARRIVA CITY s.r.o."
L655,281655,10,"ČSAD Střední Čechy , a.s."
L656,282656,18,"ARRIVA CITY s.r.o."
L657,281657,10,"ČSAD Střední Čechy , a.s."
L658,250658,18,"ARRIVA CITY s.r.o."
L659,230659,11,"ČSAD POLKOST, spol. s r.o."
L660,230660,11,"ČSAD POLKOST, spol. s r.o."
L661,230661,13,"Okresní autobusová doprava Kolín, s.r.o."
L662,286662,13,"Okresní autobusová doprava Kolín, s.r.o."
L663,250663,10,"ČSAD Střední Čechy , a.s."
L664,290664,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L666,281666,10,"ČSAD Střední Čechy , a.s."
L667,281667,10,"ČSAD Střední Čechy , a.s."
L668,250668,10,"ČSAD Střední Čechy , a.s."
L668,252668,71,"Kokořínský SOK s.r.o."
L669,281669,10,"ČSAD Střední Čechy , a.s."
L672,210672,17,"Martin UHER, spol. s r.o."
L673,270673,13,"Okresní autobusová doprava Kolín, s.r.o."
L674,270674,13,"Okresní autobusová doprava Kolín, s.r.o."
L675,230675,13,"Okresní autobusová doprava Kolín, s.r.o."
L676,270676,13,"Okresní autobusová doprava Kolín, s.r.o."
L678,270678,13,"Okresní autobusová doprava Kolín, s.r.o."
L679,270679,13,"Okresní autobusová doprava Kolín, s.r.o."
L681,230681,13,"Okresní autobusová doprava Kolín, s.r.o."
L681,232681,22,"ARRIVA autobusy a.s."
L685,282685,18,"ARRIVA CITY s.r.o."
L686,284686,29,"STENBUS s.r.o."
L687,240687,22,"ARRIVA autobusy a.s."
L688,290688,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L689,252689,71,"Kokořínský SOK s.r.o."
L690,252690,71,"Kokořínský SOK s.r.o."
L691,250691,10,"ČSAD Střední Čechy , a.s."
L692,250692,10,"ČSAD Střední Čechy , a.s."
L692,252692,71,"Kokořínský SOK s.r.o."
L693,252693,71,"Kokořínský SOK s.r.o."
L694,252694,71,"Kokořínský SOK s.r.o."
L695,250695,10,"ČSAD Střední Čechy , a.s."
L695,252695,71,"Kokořínský SOK s.r.o."
L696,250696,10,"ČSAD Střední Čechy , a.s."
L696,252696,71,"Kokořínský SOK s.r.o."
L697,250697,10,"ČSAD Střední Čechy , a.s."
L697,252697,71,"Kokořínský SOK s.r.o."
L699,260699,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L699,261699,71,"Kokořínský SOK s.r.o."
L700,670700,72,"BusLine LK s.r.o."
L700,671700,93,"KAD BUS spol. s r.o."
L702,230702,13,"Okresní autobusová doprava Kolín, s.r.o."
L705,270705,13,"Okresní autobusová doprava Kolín, s.r.o."
L705,272705,22,"ARRIVA autobusy a.s."
L706,231706,11,"ČSAD POLKOST, spol. s r.o."
L706,230706,13,"Okresní autobusová doprava Kolín, s.r.o."
L707,230707,13,"Okresní autobusová doprava Kolín, s.r.o."
L710,620710,22,"ARRIVA autobusy a.s."
L711,562711,85,"Dopravní společnost Ústeckého kraje, příspěvková organizace"
L712,260712,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L712,261712,66,"ČSAD Česká Lípa a.s."
L713,260713,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L714,260714,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L714,261714,79,"Lutan s.r.o."
L715,260715,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L716,260716,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L717,260717,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L718,260718,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L719,260719,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L720,671720,10,"ČSAD Střední Čechy , a.s."
L720,670720,72,"BusLine LK s.r.o."
L721,540721,77,"ČSAD Liberec, a.s."
L722,541722,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L722,540722,77,"ČSAD Liberec, a.s."
L723,631723,80,"BusLine KHK s.r.o."
L724,260724,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L725,260725,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L726,260726,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L727,260727,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L728,260728,10,"ČSAD Střední Čechy , a.s."
L729,260729,10,"ČSAD Střední Čechy , a.s."
L730,671730,10,"ČSAD Střední Čechy , a.s."
L730,670730,72,"BusLine LK s.r.o."
L731,260731,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L731,261731,66,"ČSAD Česká Lípa a.s."
L732,260732,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L732,261732,66,"ČSAD Česká Lípa a.s."
L733,260733,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L734,260734,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L735,631735,80,"BusLine KHK s.r.o."
L736,260736,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L736,261736,79,"Lutan s.r.o."
L737,260737,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L737,261737,66,"ČSAD Česká Lípa a.s."
L738,260738,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L739,260739,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L740,240740,22,"ARRIVA autobusy a.s."
L741,240741,22,"ARRIVA autobusy a.s."
L742,240742,22,"ARRIVA autobusy a.s."
L743,240743,22,"ARRIVA autobusy a.s."
L746,240746,22,"ARRIVA autobusy a.s."
L747,250747,10,"ČSAD Střední Čechy , a.s."
L749,240749,22,"ARRIVA autobusy a.s."
L752,200752,12,"ČSAD Benešov s.r.o."
L753,200753,12,"ČSAD Benešov s.r.o."
L754,200754,12,"ČSAD Benešov s.r.o."
L754,201754,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L755,200755,12,"ČSAD Benešov s.r.o."
L756,200756,12,"ČSAD Benešov s.r.o."
L756,201756,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L757,200757,12,"ČSAD Benešov s.r.o."
L758,200758,12,"ČSAD Benešov s.r.o."
L759,200759,12,"ČSAD Benešov s.r.o."
L760,310760,70,"Transdev Střední Čechy s.r.o."
L761,282761,18,"ARRIVA CITY s.r.o."
L763,260763,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L764,261764,13,"Okresní autobusová doprava Kolín, s.r.o."
L764,260764,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L765,285765,63,"ABOUT ME s.r.o."
L767,260767,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L768,260768,10,"ČSAD Střední Čechy , a.s."
L770,241770,12,"ČSAD Benešov s.r.o."
L770,240770,22,"ARRIVA autobusy a.s."
L771,240771,22,"ARRIVA autobusy a.s."
L772,241772,13,"Okresní autobusová doprava Kolín, s.r.o."
L772,240772,22,"ARRIVA autobusy a.s."
L773,201773,22,"ARRIVA autobusy a.s."
L775,260775,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L775,261775,79,"Lutan s.r.o."
L776,240776,22,"ARRIVA autobusy a.s."
L778,240778,22,"ARRIVA autobusy a.s."
L780,240780,22,"ARRIVA autobusy a.s."
L781,240781,22,"ARRIVA autobusy a.s."
L782,240782,22,"ARRIVA autobusy a.s."
L783,240783,22,"ARRIVA autobusy a.s."
L784,240784,22,"ARRIVA autobusy a.s."
L785,240785,22,"ARRIVA autobusy a.s."
L786,240786,22,"ARRIVA autobusy a.s."
L787,241787,11,"ČSAD POLKOST, spol. s r.o."
L787,240787,22,"ARRIVA autobusy a.s."
L788,240788,22,"ARRIVA autobusy a.s."
L790,200790,12,"ČSAD Benešov s.r.o."
L791,200791,12,"ČSAD Benešov s.r.o."
L792,200792,12,"ČSAD Benešov s.r.o."
L793,200793,12,"ČSAD Benešov s.r.o."
L794,200794,12,"ČSAD Benešov s.r.o."
L794,204794,13,"Okresní autobusová doprava Kolín, s.r.o."
L795,200795,12,"ČSAD Benešov s.r.o."
L796,200796,12,"ČSAD Benešov s.r.o."
L797,200797,12,"ČSAD Benešov s.r.o."
L797,201797,18,"ARRIVA CITY s.r.o."
L798,200798,12,"ČSAD Benešov s.r.o."
L799,200799,12,"ČSAD Benešov s.r.o."
L903,100903,11,"ČSAD POLKOST, spol. s r.o."
L914,100914,10,"ČSAD Střední Čechy , a.s."
L917,100917,29,"STENBUS s.r.o."
L951,100951,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L952,100952,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L953,100953,10,"ČSAD Střední Čechy , a.s."
L954,100954,8,"ČSAD MHD Kladno a.s."
L956,100956,18,"ARRIVA CITY s.r.o."
L957,100957,8,"ČSAD MHD Kladno a.s."
L958,100958,10,"ČSAD Střední Čechy , a.s."
L959,100959,11,"ČSAD POLKOST, spol. s r.o."
L960,100960,18,"ARRIVA CITY s.r.o."
L996,290690,17,"Martin UHER, spol. s r.o."
L997,260997,79,"Lutan s.r.o."
L1703,103103,18,"ARRIVA CITY s.r.o."
L1723,103123,18,"ARRIVA CITY s.r.o."
L1731,289001,12,"ČSAD Benešov s.r.o."
L1732,289002,12,"ČSAD Benešov s.r.o."
L1733,289003,12,"ČSAD Benešov s.r.o."
L1737,289007,12,"ČSAD Benešov s.r.o."
L1738,289008,12,"ČSAD Benešov s.r.o."
L1760,206001,12,"ČSAD Benešov s.r.o."
L1761,205001,12,"ČSAD Benešov s.r.o."
L1762,205002,12,"ČSAD Benešov s.r.o."
L1763,205003,12,"ČSAD Benešov s.r.o."
L1764,205004,12,"ČSAD Benešov s.r.o."
L1765,205005,12,"ČSAD Benešov s.r.o."
L1766,205006,12,"ČSAD Benešov s.r.o."
L1801,199691,41,"Pražské Benátky s.r.o."
L1802,199692,41,"Pražské Benátky s.r.o."
L1803,199693,42,"VITTUS GROUP, s.r.o."
L1804,199694,43,"Pražská paroplavební společnost, a.s."
L1805,199695,41,"Pražské Benátky s.r.o."
L1806,199696,41,"Pražské Benátky s.r.o."
L2032,290332,18,"ARRIVA CITY s.r.o."
L2032,290332,63,"ABOUT ME s.r.o."
L2056,109356,8,"ČSAD MHD Kladno a.s."
L2070,282670,79,"Lutan s.r.o."
L2202,992002,31,"České dráhy, a.s."
L2205,992005,31,"České dráhy, a.s."
L2245,992045,31,"České dráhy, a.s."
L2254,992054,31,"České dráhy, a.s."
L2255,992055,31,"České dráhy, a.s."
L2267,992067,31,"České dráhy, a.s."
L2276,992076,31,"České dráhy, a.s."
L2292,992022,31,"České dráhy, a.s."
L2294,999002,31,"České dráhy, a.s."
L2801,240801,22,"ARRIVA autobusy a.s."
L2803,240803,22,"ARRIVA autobusy a.s."
L2805,240805,22,"ARRIVA autobusy a.s."
L2840,200840,12,"ČSAD Benešov s.r.o."
L2841,200841,12,"ČSAD Benešov s.r.o."
L2842,200842,12,"ČSAD Benešov s.r.o."
L2843,200843,12,"ČSAD Benešov s.r.o."
L2844,200844,12,"ČSAD Benešov s.r.o."
L2845,240845,12,"ČSAD Benešov s.r.o."
L2846,200846,12,"ČSAD Benešov s.r.o."
L2846,201846,18,"ARRIVA CITY s.r.o."
L2847,200847,12,"ČSAD Benešov s.r.o."
L2848,200848,12,"ČSAD Benešov s.r.o."
L2849,200849,12,"ČSAD Benešov s.r.o."
L2850,200850,12,"ČSAD Benešov s.r.o."
L2853,611853,80,"BusLine KHK s.r.o."
L2854,200854,12,"ČSAD Benešov s.r.o."
L2856,250856,34,"AUTODOPRAVA LAMER s.r.o."
L2861,210861,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L2897,270897,13,"Okresní autobusová doprava Kolín, s.r.o."
L3360,540345,77,"ČSAD Liberec, a.s."
L1004,,31,"České dráhy, a.s."
L1005,,31,"České dráhy, a.s."
L1011,,31,"České dráhy, a.s."
L1012,,38,"Die Länderbahn CZ s.r.o."
L1014,,38,"Die Länderbahn CZ s.r.o."
L1021,,31,"České dráhy, a.s."
L1022,,31,"České dráhy, a.s."
L1034,,38,"Die Länderbahn CZ s.r.o."
L1040,,31,"České dráhy, a.s."
L1041,,31,"České dráhy, a.s."
L1050,,31,"České dráhy, a.s."
L1051,,31,"České dráhy, a.s."
L1054,,31,"České dráhy, a.s."
L1101,,32,"KŽC Doprava,s.r.o."
L1102,,31,"České dráhy, a.s."
L1103,,32,"KŽC Doprava,s.r.o."
L1104,,31,"České dráhy, a.s."
L1106,,31,"České dráhy, a.s."
L1107,,32,"KŽC Doprava,s.r.o."
L1108,,32,"KŽC Doprava,s.r.o."
L1109,,31,"České dráhy, a.s."
L1110,,32,"KŽC Doprava,s.r.o."
L1200,,40,"Leo Express Tenders s.r.o."
L1209,,31,"České dráhy, a.s."
L1210,,31,"České dráhy, a.s."
L1216,,31,"České dráhy, a.s."
L1217,,31,"České dráhy, a.s."
L1218,,31,"České dráhy, a.s."
L1219,,31,"České dráhy, a.s."
L1220,,31,"České dráhy, a.s."
L1221,,33,"ARRIVA vlaky s.r.o."
L1222,,33,"ARRIVA vlaky s.r.o."
L1223,,45,"RegioJet a.s."
L1224,,33,"ARRIVA vlaky s.r.o."
L1226,,33,"ARRIVA vlaky s.r.o."
L1241,,31,"České dráhy, a.s."
L1243,,31,"České dráhy, a.s."
L1244,,31,"České dráhy, a.s."
L1245,,31,"České dráhy, a.s."
L1249,,31,"České dráhy, a.s."
L1301,,31,"České dráhy, a.s."
L1302,,31,"České dráhy, a.s."
L1303,,31,"České dráhy, a.s."
